Dataset,Classifier,MrSEQL-SM,ResNet-CAM,MrSEQL-LIME
CBF,MR-SEQL,0.9991,0.9993,
CBF,ROCKET,0.9938,0.9944,
CBF,WEASEL,0.6018,0.6041,
CMJ,MR-SEQL,0.9441,0.9453,0.9441
CMJ,ROCKET,0.8701,0.8941,0.8919
CMJ,WEASEL,0.6899,0.6972,0.7385
Coffee,MR-SEQL,0.9625,0.9696,
Coffee,ROCKET,1.0,1.0,
Coffee,WEASEL,0.9786,0.9821,
ECG200,MR-SEQL,0.811,0.838,
ECG200,ROCKET,0.9005,0.9005,
ECG200,WEASEL,0.7565,0.7385,
GunPoint,MR-SEQL,0.9477,0.961,0.9677
GunPoint,ROCKET,0.7657,0.7983,0.803
GunPoint,WEASEL,0.543,0.5257,0.573
