dataset,weights,type,explanation_auc
CBF,MrSEQL-SM,1,0.6018
CBF,MrSEQL-SM,2,0.6144
CBF,ResNetCAM,1,0.6041
CBF,ResNetCAM,2,0.6182
CMJ,MrSEQL-SM,1,0.6899
CMJ,MrSEQL-SM,2,0.805
CMJ,ResNetCAM,1,0.6972
CMJ,ResNetCAM,2,0.7078
CMJ,MrSEQL-LIME,1,0.7385
CMJ,MrSEQL-LIME,2,0.7916
Coffee,MrSEQL-SM,1,0.9786
Coffee,MrSEQL-SM,2,0.9786
Coffee,ResNetCAM,1,0.9821
Coffee,ResNetCAM,2,0.9964
ECG200,MrSEQL-SM,1,0.7565
ECG200,MrSEQL-SM,2,0.7805
ECG200,ResNetCAM,1,0.7385
ECG200,ResNetCAM,2,0.7765
GunPoint,MrSEQL-SM,1,0.543
GunPoint,MrSEQL-SM,2,0.5703
GunPoint,ResNetCAM,1,0.5257
GunPoint,ResNetCAM,2,0.5237
GunPoint,MrSEQL-LIME,1,0.573
GunPoint,MrSEQL-LIME,2,0.5737
